Video,Type,Vid_num,Global,Action,Interaction
P01,int,29,He is eating a potato salad.,I am telling something to my frined.,We are eating together.
P01,int,30,He is eating at a restaurant.,I am telling the man something.,We are sitting opposite the table.
P01,int,31,The man is sitting in a chair doing something with his hands.,I am looking at the man.,We are sitting opposite the table.
P01,int,32,My friend is listening to me while drinking water in the restaurant.,I am telling the man something.,We are in conversation.
P01,int,33,The man looks at me while catching a fork in the restaurant.,I am saying something to my friend.,We are eating together.
P01,int,34,The man in front of me shakes his head from side to side in the restaurant.,I am telling the guy something.,We are talking together.
P01,int,35,A man is eating in a restaurant using a fork and knife.,I am eating.,"We are eating together, sitting opposite each other."
P01,int,36,He is telling me something at the restaurant.,I am listening to him while catching a bottle of water.,We are talking.
P01,int,37,My friend is eating in a restaurant and telling me something.,I am listening to him over a glass of water.,We are eating together.
P01,int,38,"At the restaurant, he comes up to me and sits in the chair in front of me.",I look at the man in front of me.,We look at each other.
P01,int,39,"He is listening to me in the restaurant, looking at his lunch box.",I am telling him something eating.,We are eating together.
P01,int,40,"He is listening to me at the restaurant, drinking water.",I am explaining something to the man.,We are sitting face to face with each other.
P01,int,41,A man is eating in a restaurant using a fork and knife.,I am using a fork to eat chicken steak.,We are sitting face to face with each other.
P01,int,42,The man sits in a restaurant and tells me something.,I look up at him.,We are talking over a meal.
P01,int,43,My friend pointed fingers at me in the restaurant and says something.,I am listening to him.,We are talking together.
P01,int,44,A man is eating at a restaurant.,I pick up and eat broccoli with a fork.,We are eating together.
P01,int,45,The man is telling me something at the restaurant.,I am eating a potato salad.,We are eating and talking together.
P01,int,46,The man is eating a potato salad in a restaurant.,I am eating chicken steak and broccoli.,We are eating together.
P01,int,47,The man in front of me is using a fork in a restaurant to eat chicken steak.,I am telling him something by eating.,We are eating together.
P01,int,48,He is eating at a restaurant and telling me something.,I am listening to him over lunch.,We are eating and talking together.
P01,int,49,A man is saying something to me at a restaurant.,I am listening to him.,We are talking.
P01,int,50,The man is chewing food in a restaurant and telling me something.,I am listening to him having lunch.,We are eating and talking together.
P01,int,51,He is telling me something at the restaurant.,I am taking a bottle of water and listening to him.,We are eating and talking together.
P01,int,52,The man is drinking water from a restaurant.,I am telling the young man something.,We are sitting face to face and talking.
P01,int,53,The man in front of me is eating at a restaurant.,I am using a knife and fork.,We are sitting face to face and eating.
P01,int,54,The man is looking at a smart phone while eating at a restaurant.,I am saying something to the man in front of me.,We are sitting face to face and talking.
P01,int,55,A woman passes by my friend in the restaurant.,I look at my friend and see a woman passing by.,We are sitting face to face.
P01,int,56,He is eating at a restaurant.,I am using a fork and knife to chop the chicken steak.,We are sitting face to face.
P01,int,57,The man is telling me something while eating at the restaurant.,I am listening to him having lunch.,We are eating and talking together.
P01,int,58,The man is telling me something while eating at the restaurant.,I am listening to him having lunch.,We are eating and talking together.
P01,int,59,He is listening to me while eating.,I am telling the man something.,We are eating and talking together.
P01,int,60,He is telling me something at the restaurant.,I am eating broccoli and listening to him.,We are eating and talking together.
P01,int,61,He is sitting in a chair and picking up a bottle of water.,I am cutting broccoli with a fork and knife.,We are eating together.
P01,int,62,A man is saying something to me at a restaurant.,I am using a fork to eat chicken steak.,We are eating and talking together.
P01,int,63,A man is eating a potato salad.,I am eating broccoli.,We are eating together.
P01,int,64,The man is eating at the restaurant.,I open the lid of the bottle.,We are sitting face to face and eating.
P01,int,65,A man is saying something to me at a restaurant.,I am listening to him drinking water.,We are talking.
P01,int,66,The man in front of me is listening to me at the restaurant.,I am explaining him something.,We are sitting face to face with each other.
P01,int,67,A man is explaining something to me in a restaurant.,I am listening to him.,We are sitting face to face with each other.
P01,int,68,The man is saying something to me at the restaurant.,I see my friend and people passing by.,We are sitting face to face with each other.
P01,int,69,The man is saying something to me at the restaurant.,I am listening to him.,We are sitting face to face with each other.
P01,int,70,A man is picking up a bottle of water in a restaurant.,I am saying something to my friend.,We are sitting face to face with each other.
P01,int,71,A man is saying something to me at a restaurant.,I am eating a potato salad listening to him.,We are talking together.
P01,int,72,A man is listening to me while drinking water in a restaurant.,I am telling him something.,We are eating and talking together.
P01,int,73,The man is listening to me while eating at the restaurant.,I am using my hands to explain something to him.,We are eating and talking together.
P01,int,74,A man is eating at a restaurant using a knife and fork.,I am telling him something.,We are eating and talking together.
P01,int,75,He is telling me something at the restaurant.,I am listening to him.,We are sitting face to face and talking together.
P01,int,76,A man is explaining something to me in a restaurant.,I am listening to him.,We are talking together.
P01,int,77,A man is explaining something to me in a restaurant.,I am listening to him.,We are talking face to face.
P01,int,78,The man is telling me something.,I am telling a man something.,We are talking together.
P01,int,79,A man is listening to me while drinking water.,I am telling a man something.,We are talking together.
P01,int,80,He is saying something to me in the restaurant .,I am doing something with both hands listening to him.,We are talking to each other.
P01,int,81,He is eating food in the lunchroom.,I am eating food.,We are having a meal together.
P01,int,82,A man is eating with a fork and a knife in a cafeteria.,I am eating a meal and seeing a friend.,We are having a meal together.
P01,int,83,He is eating with a fork and a knife in a cafeteria.,I moving the water bottle in my right hand to my left hand.,We are having a meal together.
P01,int,84,He uses a fork to eat chicken in the restaurant.,I put the water bottle on the table.,We are having a meal together.
P01,int,85,A man is telling me something while eating in a restaurant.,I am gathering both hands and listening to him.,We are having a meal together having a conversation.
P01,int,86,He is cutting food using a fork and a knife listening to me in the cafeteria.,I am talking about something.,We are eat and talking  to each other.
P01,int,87,He is cutting food using a fork and a knife listening to me in the cafeteria.,I am talking about something.,We are talking  to each other having a conversation.
P01,int,88,He is eating food talking something to me in the restaurant.,I am watching my friend eating potato salad.,We are having a meal together.
P01,int,89,A man nods his head listening to me in the cafeteria.,I am talking about something to him.,We are in conversation.
P01,int,90,He is eating a chicken steak in the cafeteria.,I am waiting for his meal to end.,We are in conversation.
P01,int,91,He moves his hands and explains something to me in the lunchroom.,I am gathering both hands and listening to him.,We are having a conversation.
P01,int,92,He is moving his right hand and explaining something to me in the lunchroom.,I am gathering both hands and listening to him.,We are having a conversation.
P01,int,93,He is moving his right hand and explaining something to me in the lunchroom.,I am listening to him.,We are having a conversation.
P01,int,94,My friend is talking to me in the cafeteria.,I am touching my fingernails and listening to him.,He and I are talking to each other.
P01,int,95,My friend is talking to me in the cafeteria.,I am touching my fingernails and listening to him.,He and I are talking to each other.
P01,int,96,The man is listening to me in the restaurant.,I am moving my hands and explaining something to him.,We are having a conversation.
P01,int,97,He is listening to me eating chicken in the cafeteria.,I am moving my hands and explaining something to him.,We are having a conversation.
P01,int,98,He is listening to me eating some  food in the cafeteria.,I am talking something to him holding both hands.,We are facing each other.
P01,int,99,The man is talking about eating food in the lunchroom.,I am listening to him.,We are talking to each other.
P01,int,100,The man is eating food listening to me in the lunchroom.,I am talking about something.,We are sitting facing each other.
P01,int,101,He is eating food using a fork and a knife in the cafeteria.,I am staring at him eating.,We are sitting  facing each other across the table.
P01,int,102,A man is having a conversation while eating in the lunchroom.,I am waiting for his meal to end.,We are talking to each other.
P01,int,103,He is eating listening to me in the cafeteria.,I am talking something to him.,We are having a meal together.
P01,int,104,A man picks up his smart phone listening to me in the restaurant.,I say something to him.,We are in conversation.
P01,int,105,A man is using a tissue to clean his mouth in the cafeteria.,I am looking at him moving hands.,We are having a conversation.
P01,int,106,The man shakes his head from side to side in the restaurant.,I stare at him.,We sit facing each other across the table.
P01,int,107,He beckons and says something in the cafeteria.,I am listening to him.,We are having a conversation.
P01,int,108,A man is talking something to me in the lunchroom.,I am listening to him.,We are having a conversation.
P01,int,109,He puts the tissue on the table saying something to me in the lunchroom.,I am listening to a man.,We are having a conversation.
P01,int,110,He is saying something to me in the cafeteria.,I am listening to a man.,We are having a conversation.
P01,int,111,He talks and picks up the water bottle in the restaurant.,I hold both hands listening to him.,We are having a conversation.
P01,int,112,He drinks water in the lunchroom.,I see him drinking water.,We talks to each other.
P01,int,113,The man beckons and explains something.,I listen to the man.,We talks to each other.
P01,int,114,He beckons and explains something in the restaurant.,I listen to him.,We have a conversation.
P01,int,115,He beckons and explains something in the restaurant.,I listen to him.,We have a conversation.
P01,int,116,The friend of mine eats food while talking at the cafeteria .,I talks to him.,We have a conversation.
P01,int,117,He is eating potato salad in the restaurant,I look at him and pull my body back.,We are having a meal together.
P01,int,118,The man waves his hand at me in the cafeteria.,I stare at him waving his hand.,We sit facing each other across the table.
P01,int,119,The man in front of me is having a meal and listening to me in the dining room.,I am beckoning and explaining something.,We are having a conversation.
P01,int,120,He is eating at the restaurant and listening to me.,I catch the water bottle and talk to my friend.,We are having a conversation.
P01,int,121,The man is having a meal and listening to me.,I am beckoning and explaining something.,We are having a conversation.
P01,int,122,He is eating food using a folk and a knife in the restaurant.,I am drinking water.,We are having a meal together.
P01,int,123,He is saying something to me in cafeteria.,I am listening to him.,We are in conversation.
P01,int,124,He is eating listening to me in the lunchroom.,I am talking something to him.,We are talking each other.
P01,int,125,He beckons and explains something in the restaurant.,I listen to him.,We are in conversation.
P01,int,126,He is having a meal and listening to me in cafeteria.,I am talking about something to him.,We are talking each other.
P01,int,127,He is using a tissue to clean his mouth and talking something to me.,I am listening to him.,We are talking each other.
P01,int,128,The friend beckons and explains something in the lunchroom.,I am listening to him.,We are having a conversation.
P01,int,129,He explains something to me in the cafeteria.,I drink water and lift my head and look at him.,We are talking each other.
P01,int,130,The man beckons and explains something in the restaurant.,I am listening to him.,We are in conversation.
P01,int,131,He drinks a water bottle and drinks water in the cafeteria.,I watch him to drink water.,We sits facing each other.
P01,int,132,He is chewing something in restaurant.,I am watching a man sitting in front of me.,We are sitting facing each other.
P01,int,133,He is eating with a fork and a knife in lunchroom.,I am watching him eating.,We are sitting facing each other.
P01,int,134,He is eating food in the restaurant.,I am eating leftovers.,We are having a meal together.
P01,int,135,He talks while eating in the restaurant.,I watch him eating and listen to him.,We are in conversation.
P01,int,136,He is eating food in the cafeteria.,I am watching him eating.,We are having a meal together.
P01,int,137,He enjoys the food.,I turn my head to the right for a moment and then see him again.,We are having a meal together.
P01,int,138,The guy is telling me something at the restaurant.,I am listening to the guy.,We are sitting facing each other.
P01,int,139,He is eating food in the lunchroom.,I turn my head to the right for a moment and then see him again.,We are eating food.
P01,int,140,A woman passes by on the right in the dining room.,I see a woman passing by on the right.,I and he is sitting facing each other.
P01,int,141,The man is having a meal and listening to me in the cafeteria.,I am talking to him.,We are having a conversation.
P01,int,142,He picks up chicken with a fork and a knife in the dining room.,I watches my friend eating.,We are in the dining room.
P01,int,143,He is talking to me in the dining room.,I am listening to my friend.,We are having a conversation.
P01,int,144,The man beckons and explains something.,I listen to my friend.,We are in conversation.
P01,int,145,A man uses a fork to put chicken in his mouth in the dining room.,I see a friend eating a chicken.,We have a meal together.
P01,int,146,My friend is having a meal.,I take my body back and look down.,We sit facing each other across the table.
P01,int,147,A man is eating food in the dining room.,I am watching him eating.,We are having a meal together.
P01,int,148,A man is eating food in the dining room.,I am watching him eating.,We are having lunch together.
P01,int,149,The man points to me in the dining room.,I sit in front of him and looking at him.,We sit facing each other across the table.
P01,int,150,My fiend uses a tissue to clean his mouth.,I see him wipe his mouth with a tissue.,We sit facing each other across the table.
P01,int,151,He puts the tissue down on the table and talks to me in the restaurant.,I am listening to him.,We are having a conversation.
P01,int,152,The man hold a water bottle in the dining room.,I watch a man sitting in front of me.,We sit facing each other across the table.
P01,int,153,He is drinking water in the cafeteria.,I see him drinking water.,We are sitting facing each other across the table.
P01,int,154,A man is looking at me drinking water in the dining room.,I see him drinking water.,We are together in the dining room.
P01,int,155,He is talking to me in the cafeteria.,I go forward toward the man in front of me.,We are having a conversation.
P01,int,156,He is saying something to me in the lunchroom.,I am listening to him.,We are having a conversation.
P01,int,157,He is using a fork to pick up food in the lunchroom.,I am watching him.,We are having a conversation.
P01,int,158,He is having lunch in the dining room.,I am watching him eat.,We are eating together.
P01,int,159,He is having lunch in the dining room.,I turn my head to the left.,We sit facing each other across the table.
P01,int,160,A woman is passing by me in the restaurant.,I see a woman walking.,We sit facing each other across the table.
P01,int,161,The man in front of me is having a meal in the dining room.,I am drinking water.,We are eating together.
P01,int,162,A man answers the phone in the restaurant.,I put the lid on the bottle.,We sit facing each other across the table.
P01,int,163,He is  talking on the phone in the dining room.,I am watching him talking on the phone.,We sit facing each other across the table.
P01,int,164,He talks on his smart phone in the restaurant.,I look down.,We sit facing each other across the table.
P01,int,165,He is putting his cell phone down and smiles and tells me in the dining room.,I am listening to him looking at the man in front of me.,We are talking to each other.
P01,int,166,My friend explains something to me hard in the lunchroom.,I look at the man in front of me.,We talks to each other.
P01,int,167,He is wiping his mouth with a tissue in the restaurant.,I am watching my friend wipe his mouth.,We are sit facing each other across the table.
P01,int,168,A man is explaining something to me in the dining room.,I am listening to him.,We is sitting facing each other across the table.
P01,int,169,The man is drinking water sitting in the restaurant.,I am watching him drink water.,We are talking to each other.
P01,int,170,A man is explaining something to me in the dining room.,I am listening to him.,We are having a conversation.
P01,int,171,He is wiping his mouth with a tissue in the lunchroom.,I am watching my friend wipe his mouth.,We are sitting facing each other across the table.
P01,int,172,My friend is looking at me and talking something to me in the lunchroom.,I am listening to him.,We are having a conversation in the restaurant.
P01,int,173,People are passing by the table in the restaurant.,I am looking at my friend and people passing by the table.,We are sitting facing each other across the table.
P01,int,174,A guy is drinking water in the restaurant.,I am watching my friend drink water.,We are sitting facing each other across the table.
P01,int,175,He is explaining something to me in the cafeteria.,I am listening to him.,We are having a conversation.
P01,int,176,The young man is saying something to me in the lunchroom.,I am listening to him fiddling with my hands.,We are having a conversation.
P01,int,177,A man is saying something to me in the lunchroom.,I am listening to him fiddling with my hands.,We are having a conversation.
P01,int,178,He says something to me in the lunchroom.,I listen to him fiddling with my hands.,We sit facing each other across the table.
P01,int,179,He is listening to me drinking water in the cafeteria.,I am talking to him something.,We are having a conversation.
P01,int,180,He is saying something to me in the restaurant.,I am listening to him fiddling with my hands.,We are sitting facing each other across the table.
P01,int,181,He drinks water and puts his cell phone in his pocket.,I am  saying something to him.,We are having a conversation.
P01,int,182,He is wiping his mouth with a tissue in the lunchroom.,I am watching my friend wipe his mouth.,We are sitting facing each other across the table.
P01,int,183,A guy is talking me something waving his hands at the restaurant.,I am listening to him.,We are having a conversation.
P01,int,184,He is saying something to me in the lunchroom.,I am listening to him fiddling with my hands.,We are in conversation.
P01,int,185,He is saying something to me in the restaurant.,I am listening to him.,We sit facing each other across the table.
P01,int,186,A man is listening to me in the cafeteria.,I am explaining something by gesture.,We are having a conversation.
P01,int,187,He drinks water in the lunchroom.,I watch my friend drink water.,We sit facing each other across the table.
P01,int,188,He is talking to me in the cafeteria.,I am listening to him.,We are in conversation.
P01,int,189,A guy is listening to me wiping his mouth with tissue in cafeteria.,I am saying something with gesture.,We are having a conversation.
P01,int,190,A young man is drinking water in the restaurant.,I am watching my friend drink water.,We sit facing each other across the table.
P01,int,191,He is wiping his mouth with a tissue in the restaurant.,I am watching my friend wipe his mouth.,We sit facing each other across the table.
P01,int,192,He is speaking after hearing me at the cafeteria.,I am telling him something.,We are talking to each other.
P01,int,193,He closes the lunch box on the table.,I close the lunch box.,We are organizing after the meal.
P01,int,194,The man is smiling at the lunchroom.,I am arranging the table.,We are having a conversation in order.
P01,int,195,He is talking to me in the cafeteria.,I am listening to him looking at the man in front of me.,We are in conversation.
P01,int,196,A guy picks up a bottle of water at the dining room.,I drink water.,We sit facing each other across the table.
P01,int,197,The young man is drinking water at the dining room.,I am watching him drinking water.,We sit facing each other across the table.
P01,int,198,The man is talking to me in the cafeteria.,I am listening to him.,We are in conversation.
P01,int,199,He is talking to me in the cafeteria.,I am listening to him.,We are in conversation.
P01,int,200,A man is talking to me in the cafeteria.,I am listening to him.,We are in conversation.
P01,int,201,My friend is talking to me in the cafeteria.,I am listening to him fiddling with tissue.,We sit facing each other across the table.
P01,int,202,A guy is talking to me in the cafeteria.,I am listening to him.,We sit facing each other across the table.
P01,int,203,The guy is talking to me in the cafeteria.,I am listening to him.,We are having a conversation.
P01,int,204,A man is listening to me in the cafeteria.,I am saying something to him.,We are having a conversation.
P01,int,205,A man is listening to me in the cafeteria.,I am saying something to my friend.,We are having a conversation.
P01,int,206,He is playing with a jug and listening to me at the restaurant.,I am saying something to my friend.,We are having a conversation.
P01,int,207,My friend is turning his head at the restaurant.,I am looking at my friend.,We sit facing each other across the table.
P01,int,208,He is wiping his mouth with a tissue at the lunchroom.,I am watching him wipe his mouth.,We sit facing each other across the table.
P01,int,209,A man is listening to me in the cafeteria.,I am telling him something.,We are having a conversation.
P01,int,210,The guy is listening to me looking left side.,I am looking at him.,We sit facing each other across the table.
P01,int,211,He is talking to me in the cafeteria.,I am listening to him.,We are having a conversation.
P01,int,212,He sits absentmindedly in the dining room.,I turn my head to the right and then to the left.,We sit facing each other across the table.
P01,int,213,He is picking up a bottle of water while talking at the dining room.,I am listening to a man.,We are having a conversation.
P01,int,214,He keeps his lunch in order at the restaurant.,I close the lunch box.,We are having a conversation in order.
P01,int,215,He is talking to me with a bottle of water at the restaurant.,I listen to him.,We sit facing each other across the table.
P01,int,216,My friend is standing in front of the bicycle shed.,I turn my head to the left and look forward again.,The man and I are talking together.
P01,int,217,He wears sunglasses.,I turn my head to the left and look at the building.,We talk together.
P01,int,218,He is talking to me in the cafeteria.,I am listening to him.,We are talking.
P01,int,220,He is waving and turning his head to the left in front of bicycle shed.,I am looking next to him.,We are talking together.
P01,int,221,He tells me something  in front of bicycle shed.,I turn my head to the left while listening to him.,We are talking.
P01,int,222,He is telling me something  in front of bicycle shed.,I am pointing my finger at something and telling him.,We are talking.
P01,int,223,The automatic door of the mart is opening.,I am entering the mart.,I enter the building with him through an automatic door.
P01,int,224,He tells me something at the mart.,I look around in the mart.,We are walking together.
P01,int,225,The man passes by the counter and tells me something.,I look around in the mart.,We pass by the counter talking.
P01,int,226,A man is going out of the mart through the door.,I am following the man in front of me.,We are looking for an exit.
P01,int,227,A man is walking to me outside.,I turn my head to the left.,
P01,int,228,The woman at the counter pushes the paper at me.,I pass my bag.,I leave my baggage to the staff.
P01,int,229,A man sits in a cafe chair.,I see a man passing by using a laptop.,
P01,int,230,He is laughing and talking in the cafe.,I am listening to him using a laptop.,We are talking.
P01,int,231,He is telling me something at the cafe.,I am looking at the man who talks to me.,We are talking.
P01,int,232,He is sitting in the cafe staring at me.,I look at the laptop and look at him.,We are in the cafe together.
P01,int,233,He is telling me something at the cafe.,I look at the laptop and the man in front of me alternately.,We are in the cafe together.
P01,int,234,He is telling me something at the cafe.,I am looking at him using my smart phone.,We are talking together.
P01,int,235,He is using his hands to explain something to me at the cafe.,I am looking at a man sitting on my diagonal.,We are talking to each other.
P01,int,236,He is telling me something at the cafe.,I look at the smart phone alternately.,We are having a conversation.
P01,int,237,He is sitting in the cafe and looking at my smart phone.,I am showing the man in front of me my smart phone.,We are talking with each other looking at smartphones.
P01,int,238,He is sitting in the cafe and looking at my smart phone.,I am using a smart phone.,I am showing him a smart phone.
P01,int,239,He is sitting in front of me in the cafe.,I am looking at something using my smart phone.,
P01,int,240,He is saying something to me in the cafe.,I look at the smart phone alternately.,We are talking together.
P01,int,241,He is using his smart phone in the cafe.,I am using a smart phone.,We are sitting opposite each other.
P01,int,242,He is saying something with a smart phone in his hand in the cafe.,I look at him and see a smart phone.,We are sitting face to face.
P01,int,243,He says me something in the cafe.,I listen to him while using my smart phone.,We sit face to face in conversation.
P01,int,244,He finds something in his bag in the cafe.,I am looking at the man in front of me.,We sit face to face.
P01,int,245,He explains something and gets up and walks to the counter in the cafe.,I wake up and go to the counter.,We walk to the counter together in conversation.
P01,int,246,The man next to me is looking at the menu in the cafe.,I am looking at the menu.,We are looking at the menu board together.
P01,int,247,He is rummaging through his card wallet in the cafe.,I am looking at his card wallet.,He is showing me his card wallet.
P01,int,248,The cafe clerk is saying something in the cafe.,I am looking at a cafe employee.,I am ordering something from the cafe staff.
P01,int,249,He is laughing and saying something in the cafe.,I am looking at him.,We are having a conversation.
P01,int,250,The woman at the counter enters the price and receives the card.,I take a card out of my wallet.,I give her my card.
P01,int,251,A woman gives a receipt at the cafe.,I sign on the receipt.,"I give her the receipt, sign it, and give it back to her."
P01,int,252,He is saying something to me in the cafe.,I look at the laptop and the man in front of me alternately.,We are sitting face to face and talking.
P01,int,253,He opens his iPad in the cafe.,I turn off the laptop and cover it.,We are sitting face to face with each other.
P01,int,254,He is showing an iPad at the cafe.,I see his iPad.,We are sitting face to face with each other.
P01,int,255,He looks at my smart phone in the cafe.,I am looking at my smart phone.,He talks to show me something.
P01,int,256,A man is explaining something by showing the iPad in the cafe.,I am looking at his iPad.,We are talking while watching the iPad together.
P01,int,257,A man gives out an iPad at the cafe.,I am looking at his iPad.,He gives me an iPad.
P01,int,258,He is telling me something in the cafe.,I am looking at his iPad.,We are sitting face to face with each other.
P01,int,259,He is telling me something in the cafe.,I am listening to him.,We are sitting face to face in conversation.
P01,int,260,He is sitting in front of me at the cafe.,I am taking a tea bag out of the cup.,We are sitting face to face with each other.
P01,int,261,The man is saying something in the cafe.,I dip the tea bag into the cup and move the cup to the left.,We are sitting face to face with each other.
P01,int,262,He is laughing looking at me in the cafe.,I move my smart phone and pen.,We are sitting face to face with each other.
P01,int,263,A man drinks coffee in the cafe.,I look up at him.,We are sitting face to face with each other.
P01,int,264,He is saying something to me at the cafe.,I am saying something.,We are having a conversation.
P01,int,265,My friend is saying something to me at the cafe.,"I am listening to him, fiddling with my hands.",We are having a conversation.
P01,int,266,He is listening to me at the cafe.,I am saying something.,We are sitting face to face in conversation.
P01,int,267,My friend is watching me write something in my notebook in the cafe.,I am writing something in my notebook.,We are sitting opposite.
P01,int,268,A man is explaining something to me at the cafe.,I am saying something.,We are sitting face to face in conversation.
P01,int,269,The man explains something over a cup of coffee at the cafe.,I listen to him over tea.,We are sitting face to face in conversation.
P01,int,270,He is saying something to me in the cafe.,I am writing something down in my notebook and listening to him.,We are in the cafe together.
P01,int,271,A man is saying something to me in the cafe.,I am listening to him drinking a cup of tea.,We are sitting face to face in conversation.
P01,int,272,He is saying something to me in the cafe.,I am listening to a man  looking at the man in front of me.,We are sitting face to face in conversation.
P01,int,273,He is listening to me over a cup of coffee at the cafe.,I am saying something to him.,We are having a conversation.
P01,int,274,He is saying something to me in the cafe.,I am listening to a man  looking at the man in front of me.,We are having a conversation.
P01,int,275,He is drinking coffee at the cafe.,I am drinking tea.,We are sitting face to face with each other.
P01,int,276,People walk past us at the cafe.,I turn my head to the right and look at the store.,We are sitting face to face.
P01,int,277,He is saying something to me in the cafe.,I turn my head to the right and look at the man in front of me.,We are sitting face to face.
P01,int,278,A man is listening to me looking at something in the cafe.,I am talking him something drinking tea.,We are sitting face to face.
P01,int,279,The man is holding a cup at the cafe.,I look at people standing in front of the counter.,We are sitting face to face with each other.
P01,int,280,A man is sitting in front of me in the cafe.,I am using a smart phone.,We are sitting face to face.
P01,int,281,He is holding a cup in his hand in the cafe.,I am looking at the man holding a cup.,We are sitting and talking.
P01,int,282,He is saying something with a cup in his hand at the cafe.,I am using a smart phone.,We are sitting face to face.
P01,int,283,He looks at my smart phone at the cafe.,I turn my cell phone around and show it to him.,We are sitting face to face and talking to my smart phone.
P01,int,284,He is looking at a smart phone in the cafe.,I turn my head to the left and look at him again.,We are sitting face to face.
P01,int,285,He gives me a smart phone at the cafe.,I get a smart phone from him.,We are sitting face to face.
P01,int,286,He is telling me something in the cafe.,I am saying something.,We are sitting together talking.
P01,int,287,The man is fiddling with a cup of coffee in the cafe.,I am drinking tea.,We are sitting face to face.
P01,int,288,A man is saying me something at the cafe.,I am looking at the man in front of me.,We are talking.
P01,int,289,A man is saying me something at the cafe.,I am listening to him.,We are talking together.
P01,int,290,A guy is drinking coffee in the cafe.,I am drinking tea.,We are sitting face to face.
P01,int,291,He is saying something to me in the cafe.,I turn my head to the right and listen to him.,We are talking.
P01,int,292,He is drinking coffee and watching me write something in the cafe.,I am writing something in my notebook.,We are sitting face to face.
P01,int,293,He is telling me something in the cafe.,I am looking at the man in front of me.,We are talking together.
P01,int,294,A man is telling me something in the cafe.,I am listening to him drinking tea.,We are having a conversation.
P01,int,295,The man is telling me something in the cafe.,I am saying something to him.,We are sitting together talking.
P01,int,296,He is telling me something in the cafe.,I am listening to him drinking tea.,We are having a conversation.
P01,int,297,A man is listening to me and saying something in the cafe.,I am saying him something.,We are sitting together talking.
P01,int,298,He is telling me something in the cafe.,I am listening to him drinking tea.,We are in conversation.
P01,int,299,My friend is telling me something in the cafe.,I am listening to him drinking tea.,We are in conversation.
P01,int,300,He is telling me something in the cafe.,I am listening to him.,We are in conversation.
P01,int,301,My friend is telling me something in the cafe.,I am listening to him drinking tea.,We are in conversation.
P01,int,302,A man is telling me something in the cafe.,I am listening to him.,We are having a conversation.
P01,int,303,The man is telling me something in the cafe.,I am listening to him.,We are having a conversation.
P01,int,304,A man is telling me something in the cafe.,I am listening to him drinking tea.,We are having a conversation.
P01,int,305,My friend is telling me something in the cafe.,I am listening to him.,We are sitting together talking.
P01,int,306,A man is telling me something in the cafe.,I am listening to him drinking tea.,We are sitting together talking.
P01,int,307,The man is telling me something in the cafe.,I am listening to him drinking tea.,We are sitting together talking.
P01,int,308,He is telling me something in the cafe.,I am saying something.,We are talking together.
P01,int,309,He is telling me something in the cafe.,I am listening to him.,We are talking together.
P01,int,310,He is telling me something in the cafe.,I am listening to him.,We are talking together.
